tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
ch,2026-06-11 05:01:39.265+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-11 05:02:14.709+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-11 05:02:18.875+00,2026-06-10 21:00:06.557+00,onu.xml,2171560,f,,N,-1
eu,2026-06-11 05:02:24.508+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-11 05:02:48.108+00,2026-06-09 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-11 05:03:04.349+00,2026-06-11 05:03:08.823+00,ca.xml,1793449,f,,N,-1
us,2026-06-11 05:03:24.136+00,2026-06-11 05:03:24.136+00,cuba.xml,262316,f,,N,-1
au,2026-06-11 19:00:07.082+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-11 19:00:35.554+00,2026-06-10 22:00:00+00,ofac_sdn.xml,28578223,f,,N,-1
ch,2026-06-11 19:01:40.752+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-11 19:02:03.59+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-11 19:02:09.201+00,2026-06-10 21:00:06.557+00,onu.xml,2171560,f,,N,-1
eu,2026-06-11 19:02:13.84+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-11 19:02:35.062+00,2026-06-09 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-11 19:02:49.579+00,2026-06-11 19:02:54.08+00,ca.xml,1793449,f,,N,-1
us,2026-06-11 19:03:07.89+00,2026-06-11 19:03:07.891+00,cuba.xml,262316,f,,N,-1
au,2026-06-12 05:00:08.667+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-12 05:00:35.067+00,2026-06-10 22:00:00+00,ofac_sdn.xml,28578223,f,,N,-1
ch,2026-06-12 05:01:33.491+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-12 05:02:10.207+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-12 05:02:14.213+00,2026-06-11 21:00:02.349+00,onu.xml,2171560,f,,N,-1
eu,2026-06-12 05:02:19.854+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-12 05:02:43.435+00,2026-06-09 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-12 05:03:00.543+00,2026-06-12 05:03:04.996+00,ca.xml,1793449,f,,N,-1
us,2026-06-12 05:03:21.072+00,2026-06-12 05:03:21.073+00,cuba.xml,262316,f,,N,-1
au,2026-06-12 19:00:02.37+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-12 19:00:30.388+00,2026-06-10 22:00:00+00,ofac_sdn.xml,28578223,f,,N,-1
ch,2026-06-12 19:01:26.363+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-12 19:01:51.897+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-12 19:01:55.751+00,2026-06-11 21:00:02.349+00,onu.xml,2171560,f,,N,-1
eu,2026-06-12 19:02:00.934+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-12 19:02:25.28+00,2026-06-09 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-12 19:02:41.996+00,2026-06-12 19:02:46.156+00,ca.xml,1793449,f,,N,-1
us,2026-06-12 19:03:01.41+00,2026-06-12 19:03:01.413+00,cuba.xml,262316,f,,N,-1
au,2026-06-13 05:00:03.618+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
